@ATTRIBUTE Fwd_Segment_Size_Avg NUMERIC
@ATTRIBUTE Bwd_Segment_Size_Avg NUMERIC
@ATTRIBUTE Bwd_Bytes/Bulk_Avg NUMERIC
@ATTRIBUTE Bwd_Packet/Bulk_Avg NUMERIC
@ATTRIBUTE Bwd_Bulk_Rate_Avg NUMERIC
@ATTRIBUTE Fwd_Act_Data_Pkts NUMERIC
@ATTRIBUTE Active_Mean NUMERIC
@ATTRIBUTE Active_Std NUMERIC
@ATTRIBUTE Idle_Mean NUMERIC
@ATTRIBUTE Idle_Std NUMERIC
@ATTRIBUTE class {video,http,dns,ftp,ssh}
@DATA

15,1,1,33.0,61.0,33.0,0.0,61.0,0.0,6266666.666666666,133333.33333333334,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,66666.6666667,66666.6666667,42.3333333333,16.1658075373,261.333333333,1.0,63.5,33.0,61.0,0,0,0,0,0.0,0.0,0.0,0.0,dns
21801,1,1,46.0,98.0,46.0,0.0,98.0,0.0,6605.201596257052,91.73891105912573,21.801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,8,45.8694555296,45.8694555296,63.3333333333,30.0222139979,901.333333333,1.0,95.0,46.0,98.0,0,0,0,0,0.0,0.0,0.0,0.0,dns
21849,1,1,44.0,72.0,44.0,0.0,72.0,0.0,5309.167467618655,91.53737013135613,21.849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,8,45.7686850657,45.7686850657,53.3333333333,16.1658075373,261.333333333,1.0,80.0,44.0,72.0,0,0,0,0,0.0,0.0,0.0,0.0,dns
212,1,1,37.0,82.0,37.0,0.0,82.0,0.0,561320.7547169811,9433.962264150943,0.212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,4716.98113208,4716.98113208,52.0,25.9807621135,675.0,1.0,78.0,37.0,82.0,0,0,0,0,0.0,0.0,0.0,0.0,dns
6,1,1,40.0,96.0,40.0,0.0,96.0,0.0,2.2666666666666668E7,333333.3333333333,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,166666.666667,166666.666667,58.6666666667,32.3316150746,1045.33333333,1.0,88.0,40.0,96.0,0,0,0,0,0.0,0.0,0.0,0.0,dns
9,1,1,33.0,88.0,33.0,0.0,88.0,0.0,1.3444444444444444E7,222222.22222222222,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,111111.111111,111111.111111,51.3333333333,31.7542648054,1008.33333333,1.0,77.0,33.0,88.0,0,0,0,0,0.0,0.0,0.0,0.0,dns
21814,1,1,40.0,152.0,40.0,0.0,152.0,0.0,8801.686990006418,91.68423947923353,21.814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,8,45.8421197396,45.8421197396,77.3333333333,64.6632301492,4181.33333333,1.0,116.0,40.0,152.0,0,0,0,0,0.0,0.0,0.0,0.0,dns
6,1,1,42.0,266.0,42.0,0.0,266.0,0.0,5.133333333333333E7,333333.3333333333,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,166666.666667,166666.666667,116.666666667,129.326460298,16725.3333333,1.0,175.0,42.0,266.0,0,0,0,0,0.0,0.0,0.0,0.0,dns
16,1,1,43.0,100.0,43.0,0.0,100.0,0.0,8937500.0,125000.0,0.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,62500.0,62500.0,62.0,32.9089653438,1083.0,1.0,93.0,43.0,100.0,0,0,0,0,0.0,0.0,0.0,0.0,dns
10529,1,1,61.0,106.0,61.0,0.0,106.0,0.0,15860.955456358628,189.95156235160033,10.529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,8,94.9757811758,94.9757811758,76.0,25.9807621135,675.0,1.0,114.0,61.0,106.0,0,0,0,0,0.0,0.0,0.0,0.0,dns
0,1,1,37.0,37.0,37.0,0.0,37.0,0.0,Infinity,Infinity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,0.0,0.0,37.0,0.0,0.0,1.0,55.5,37.0,37.0,0,0,0,0,0.0,0.0,0.0,0.0,dns
31170,1,1,29.0,141.0,29.0,0.0,141.0,0.0,5453.962143086301,64.16426050689766,31.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,8,32.0821302534,32.0821302534,66.3333333333,64.6632301492,4181.33333333,1.0,99.5,29.0,141.0,0,0,0,0,0.0,0.0,0.0,0.0,dns
80742,1,1,47.0,63.0,47.0,0.0,63.0,0.0,1362.3640732208764,24.77025587674321,80.742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,8,12.3851279384,12.3851279384,52.3333333333,9.23760430703,85.3333333333,1.0,78.5,47.0,63.0,0,0,0,0,0.0,0.0,0.0,0.0,dns
