Fwd Packet Length Std,Bwd IAT Total,Packet Length Mean,Label
614.906171704,223195.0,558.5,quic
710.881143371,46126.0,994.090909091,quic
3.39161037991,0.0,31.9972899729,quic
12.7104886507,0.0,46.1034482759,quic
13.310274178,0.0,43.7368421053,quic
4.09267638594,0.0,29.5,quic
408.628179617,82603081.0,156.956521739,quic
4.14161093978,0.0,27.4807692308,quic
313.020175263,298499.0,751.908256881,quic
451.445605254,166668.0,650.666666667,quic
14.1850593616,0.0,36.3235294118,quic
5.51581747561,0.0,29.6923076923,quic
13.0918817754,0.0,46.2857142857,quic
592.303761049,14324635.0,744.046263345,quic
489.845451818,116016.0,482.076923077,quic
511.753784449,656140.0,516.076923077,quic
319.706369285,32017743.0,184.327586207,quic
409.162137233,266397.0,595.741935484,quic
15.195430198,0.0,37.7333333333,quic
13.3115859058,0.0,33.1111111111,quic
14.4629928065,0.0,38.2903225806,quic
449.881861887,24816357.0,348.821428571,quic
12.3172353113,0.0,37.5555555556,quic
5.26273964504,0.0,29.3333333333,quic
5.26273964504,0.0,29.3333333333,quic
5.26273964504,0.0,29.3333333333,quic
5.26273964504,0.0,29.3333333333,quic
423.877790115,213215319.0,306.756756757,quic
5.94370552161,2697490.0,52.25,quic
504.963243987,249153.0,418.095238095,quic
489.260889692,478872.0,381.291666667,quic
539.909181075,2721067.0,462.542857143,quic
4.93577803005,0.0,29.6818181818,quic
4.2216373864,0.0,29.0909090909,quic
4.2216373864,0.0,29.0909090909,quic
4.2216373864,0.0,29.0909090909,quic
12.6397571788,0.0,32.3902439024,quic
