Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Mean,Packet Length Std,Packet Length Variance,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Fwd Act Data Pkts,Active Mean,Active Std,Idle Mean,Idle Std,Label
296850,11638,35931,572532,47826352,49.195050696,120.50930819,1331.06097799,82.9880356808,163041549.604177,160245.915445511,6.24053985873,153.229346588,296850,25.5091518433,309.525042328,296687,8.25736153632,182.913048346,275400,849552,39204.985683,121040.929763,1017.44925373,558.939374352,312413.224201,3,1017.47064265,49.195050696,1331.06097799,48398884,47569,163041549,11637,0,0,0,0,live
17283,222,7086,23120,9429656,104.144144144,278.245337456,1330.74456675,85.1160025952,546940693.166696,422843.256379101,2.36526618311,135.470066082,17283,78.2036199095,779.836987153,17231,2.43203952011,138.218918028,6300,147408,12844.9921889,409998.26419,1293.48925982,231.692597103,53681.4595521,31,1293.66625616,104.144144144,1330.74456675,9452776,7308,546940693,221,0,0,0,0,live
297722,11662,37028,576734,49286399,49.4541245069,121.391655603,1331.05755104,82.9470688469,167482191.440337,163541.827610993,6.11476924973,150.712731259,297722,25.5314295515,307.851755013,297560,8.03629783671,179.395863224,281312,896600,39170.7700472,124371.057564,1024.09706106,554.924127399,307940.78717,3,1024.11809406,49.4541245069,1331.05755104,49863133,48690,167482191,11661,0,0,0,0,live
22017,124,6036,19852,8040536,160.096774194,363.049312858,1332.09675282,74.5666825079,366098378.525685,279783.803424626,3.57476863127,181.660919638,22017,179,1278.50908304,21972,3.64076222038,184.533534401,3272,113952,5632.01162738,274151.791797,1308.50917059,187.544086476,35172.7843721,48,1308.72159091,160.096774194,1332.09675282,8060388,6160,366098378,123,0,0,0,0,live
290266,11538,36150,566788,48115848,49.1235916103,120.358567521,1331.00547718,83.3472593091,167717321.353517,164290.68509574,6.08689999371,150.228070394,290266,25.159573546,305.36551579,290065,8.02415004564,179.017831289,285960,891684,39749.746784,124540.938312,1020.86047097,556.913386289,310152.519828,3,1020.88187804,49.1235916103,1331.00547718,48682636,47688,167717321,11537,0,0,0,0,live
294220,8818,26250,474624,34866162,53.8244499887,138.416333387,1328.23474286,100.990693892,120116871.728638,119189.721976752,8.39022442752,175.14002189,294220,33.3696268572,353.050510451,289999,11.0480018286,208.527429727,218168,650992,29970.770172,89218.9518048,1007.78365508,564.050084598,318152.497935,2,1007.81239306,53.8244499887,1328.23474286,35340786,35068,120116871,8817,0,0,0,0,live
85501,516,10347,64356,13711576,124.720930233,310.010108867,1325.17406011,117.40065146,161120127.249974,127051.145600636,7.87157061315,265.753785087,85501,166.021359223,1210.85638149,85489,8.26300019331,272.472178399,13392,242688,6035.0171343,121016.128466,1268.15804492,287.897138525,82884.7623711,20,1268.27478597,124.720930233,1325.17406011,13775932,10863,161120127,515,0,0,0,0,live
297245,5206,21060,303728,27967503,58.3419131771,159.345220836,1327.99159544,103.023101364,95110871.5033054,88364.8169018823,11.3171521036,266.749127067,297049,57.069932757,602.712708719,297083,14.1071750795,304.837361144,135944,552532,17514.1718111,70850.6450908,1076.34705143,519.345764772,269720.023387,4,1076.38803015,58.3419131771,1327.99159544,28271231,26266,95110871,5205,0,0,0,0,live
288764,8494,34387,449092,45770592,52.8716741229,137.63098751,1331.04347573,83.1302601004,160060409.192282,148498.427781856,6.73423507463,158.260518276,288764,34.000235488,355.157650439,288597,8.39286337463,183.580841508,208196,837080,29415.0240335,119083.403748,1077.86159694,518.463297715,268804.191077,4,1077.88673305,52.8716741229,1331.04347573,46219684,42881,160060409,8493,0,0,0,0,live
291129,5330,25764,684452,33408261,128.415009381,302.030427371,1296.7031905,203.783409053,117105176.742956,106804.887180597,9.36316855884,155.925819199,291129,54.6310752486,373.849904716,291123,11.3000426969,172.024930204,145168,701776,18308.0352696,88496.851911,1096.44158225,493.863848501,243901.500857,4,1096.47684441,128.415009381,1296.7031905,34092713,31094,117105176,5329,0,0,0,0,live
