Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Mean,Packet Length Std,Packet Length Variance,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Fwd Act Data Pkts,Active Mean,Active Std,Idle Mean,Idle Std,Label
294255,4044,15371,392150,20129428,96.9708209693,248.92960192,1309.57179104,177.401216573,69740796.2481521,65980.1872525531,15.1568455754,265.961907864,294233,72.7759089785,581.619786199,294216,19.1422251139,301.2746756,63468,244612,13743.181934,52237.0053185,1056.99979398,529.431373254,280297.578985,3,1057.05423642,96.9708209693,1309.57179104,20521578,19415,69740796,4043,0,0,0,0,live
298720,22186,28700,1391872.0,19763531.0,1046.0,34.0,62.7365004958,162.877372925,1337.0,28.0,688.624773519,465.935522229,7.082017608462775E7,170346.81306909482,5.87049228653,14.8140019112,214.0,0.0,298720.0,13.4649537976,21.3177464271,346.0,0.0,298678.0,10.4072615771,20.9874235367,235.0,0.0,0,0,0,0,597118,771472,74270.2196036,96076.5934655,28.0,1337.0,415.733664787,479.934473563,230337.098914,0,0,0,0,0,0,0,0,1.0,415.741834689,62.7365004958,688.624773519,0,0,0,21155403,50886,70820176,0,0,0,0,0,0,22185,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,live
374396,13714,22770,906674,23815411,66.113023188,183.584060664,1045.91176987,452.883708932,66031915.4051,97447.6223036571,10.2622043143,30.2324908306,374396,27.302267921,51.0152470655,374186,16.4340111555,41.8373367989,229728,373036,36629.6648468,60817.9574568,677.63250651,604.892946722,365895.476994,1,677.651079925,66.113023188,1045.91176987,24722085,36484,66031915,13713,0,0,0,0,live
294220,8818,26250,474624,34866162,53.8244499887,138.416333387,1328.23474286,100.990693892,120116871.728638,119189.721976752,8.39022442752,175.14002189,294220,33.3696268572,353.050510451,289999,11.0480018286,208.527429727,218168,650992,29970.770172,89218.9518048,1007.78365508,564.050084598,318152.497935,2,1007.81239306,53.8244499887,1328.23474286,35340786,35068,120116871,8817,0,0,0,0,live
298970,64581,26940,71239956.0,2319776.0,1337.0,28.0,1103.11014075,419.203913081,1337.0,29.0,86.108982925,223.109823282,2.4604385724320164E8,306121.01548650366,3.26671765734,11.2981666384,469.0,0.0,298970.0,4.62945184268,14.2995186996,470.0,0.0,298967.0,11.0979249415,21.8481075898,672.0,0.0,0,0,0,0,1005520,444350,216011.639964,90109.3755226,28.0,1337.0,803.743624484,594.549615813,353489.245664,0,0,0,0,0,0,0,0,0.0,803.752406552,1103.11014075,86.108982925,0,0,0,73559732,91521,246043857,0,0,0,0,0,0,64580,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,live
296212,4690,14541,424880,18874028,90.592750533,236.099843038,1297.9869335,204.884123576,65152350.3436728,64923.0956207041,15.4036401456,208.780797345,296212,63.1716783962,419.914972601,296170,20.3693259972,242.915953744,68840,206136,15833.2545609,49089.8410598,1003.53488977,560.490666607,314149.787353,3,1003.58707296,90.592750533,1297.9869335,19298908,19231,65152350,4689,0,0,0,0,live
298572,10748,47839,1300572,61945590,121.005954596,292.759558793,1294.87635611,212.990429714,211828845.303645,196224.0263655,5.09630287099,86.7797114422,298572,27.7818926212,201.213998091,298549,6.24083364689,96.5437681746,178300,786139,35998.0172287,160226.009137,1079.52734348,509.099184147,259181.979299,4,1079.54576954,121.005954596,1294.87635611,63246162,58587,211828845,10747,0,0,0,0,live
294047,3780,12313,278538,16201650,73.6873015873,199.921927333,1315.81661658,158.649847258,56046101.473574,54729.3459889065,18.2728685061,268.260843645,293861,77.7615771368,556.867157661,293887,23.8699642625,316.950724215,49450,167021,12855.0877921,41874.2581968,1024.06617373,553.10074917,305920.438733,3,1024.12980799,73.6873015873,1315.81661658,16480188,16093,56046101,3779,0,0,0,0,live
295040,6946,23236,508216,30575916,73.1667146559,196.368587524,1315.88552247,156.72760791,105355653.470716,102297.993492408,9.7756866903,162.914371655,295040,42.4823614111,350.669605127,294875,12.6909834302,193.555203776,110756,375932,23542.5704989,78755.4229935,1029.89331743,549.000765196,301401.840186,3,1029.9274402,73.1667146559,1315.88552247,31084132,30182,105355653,6945,0,0,0,0,live
298300,5206,20985,703778,26872894,135.185939301,312.863164736,1280.57631642,242.058299703,92446101.2404,87800.871605766,11.3898434517,129.236546339,298298,57.3098943324,285.709718531,298299,14.2155451773,144.854127331,76906,308048,17452.2292994,70348.6423064,1052.90928528,524.722509067,275333.711522,4,1052.94948646,135.185939301,1280.57631642,27576672,26191,92446101,5205,0,0,0,0,live
