NormFwd_Packet_Length_Mean,NormFwd_Packet_Length_Std,NormBwd_Packet_Length_Mean,NormBwd_Packet_Length_Std,NormFlow_IAT_Mean,NormFlow_IAT_Std,NormFwd_IAT_Mean,NormFwd_IAT_Std,NormBwd_IAT_Mean,NormPacket_Length_Mean,NormPacket_Length_Std,Label
6.746018,10.000000,0.465593,3.092815,0.007772,0.000053,0.014304,0.000066,0.083598,3.719939,9.913590,live
7.269990,9.310425,0.566796,3.709679,0.001771,0.000017,0.002736,0.000020,0.024649,4.699444,9.869025,live
5.255276,8.566137,0.506509,3.344511,0.002893,0.000023,0.005024,0.000027,0.033505,3.111515,7.986215,live
5.795684,9.519164,0.537830,3.512556,0.004959,0.000041,0.008590,0.000048,0.057619,3.429662,8.835646,live
6.737826,10.000000,0.455065,3.081697,0.008256,0.000058,0.015585,0.000072,0.086222,3.629206,9.808634,live
6.658722,10.000000,0.466379,3.057125,0.007841,0.000056,0.014463,0.000070,0.084107,3.667986,9.871341,live
6.783146,9.219333,0.609776,3.951507,0.001692,0.000016,0.002639,0.000018,0.023155,4.378356,9.468763,live
4.809140,8.206762,0.503076,3.321494,0.002996,0.000025,0.005272,0.000030,0.034094,2.834098,7.488921,live
6.173169,9.547100,0.568156,3.722752,0.005671,0.000129,0.009602,0.000150,0.067908,3.721111,9.147094,live
6.604684,10.000000,0.461514,3.049940,0.008553,0.000103,0.016140,0.000126,0.088544,3.540912,9.718139,live
6.969988,10.000000,0.461657,3.027822,0.007699,0.000095,0.013700,0.000125,0.086315,3.948762,10.000000,live
6.776682,9.348927,0.615451,3.982270,0.001778,0.000058,0.002786,0.000066,0.024096,4.355893,9.527694,live
5.373371,8.743158,0.527270,3.485701,0.003265,0.000087,0.005538,0.000101,0.039065,3.248129,8.188643,live
0.565151,3.666479,5.516323,8.986259,0.005337,0.000064,0.012365,0.000098,0.046106,3.464284,8.873163,live
0.665333,4.187387,6.567526,8.970966,0.001883,0.000030,0.005100,0.000057,0.014664,4.503122,9.765139,live
0.559158,3.579472,4.794587,8.277031,0.003052,0.000055,0.007095,0.000084,0.026295,3.045208,7.964785,live
7.125927,9.389886,0.585018,3.804835,0.001762,0.000017,0.002767,0.000020,0.023844,4.553845,9.799824,live
5.428055,8.758433,0.487247,3.215461,0.002748,0.000023,0.004795,0.000027,0.031621,3.185391,8.189704,live
5.844322,9.545938,0.517812,3.390643,0.004841,0.000039,0.008594,0.000046,0.054452,3.377022,8.844679,live
6.536166,10.000000,0.457933,3.110773,0.008123,0.000053,0.015341,0.000067,0.084777,3.527044,9.753557,live
7.035902,9.359835,0.580985,3.782648,0.001790,0.000017,0.002858,0.000020,0.023532,4.432639,9.716680,live
0.527792,3.374472,4.717171,8.185667,0.002819,0.000023,0.006496,0.000031,0.024461,2.969754,7.841829,live
0.561560,3.566508,5.454298,9.043740,0.004893,0.000040,0.011235,0.000053,0.042562,3.406115,8.833355,live
0.507637,3.245512,6.216957,10.000000,0.008079,0.000053,0.017256,0.000076,0.074597,3.633606,9.838415,live
5.125110,8.473958,0.493886,3.260349,0.002854,0.000023,0.005017,0.000027,0.032502,3.003458,7.832640,live
0.640038,4.025777,6.616631,9.016200,0.001753,0.000017,0.004861,0.000028,0.013462,4.579757,9.827022,live
5.946750,9.464038,0.534860,3.503503,0.004888,0.000040,0.008579,0.000046,0.055809,3.473015,8.896618,live
6.720894,10.000000,0.475801,3.147218,0.008250,0.000054,0.015445,0.000068,0.086971,3.656931,9.829480,live
7.023838,9.343269,0.584733,3.805887,0.001795,0.000017,0.002854,0.000020,0.023768,4.443026,9.700728,live
5.194027,8.532112,0.497019,3.277950,0.002855,0.000024,0.005036,0.000028,0.032376,3.033879,7.904860,live
6.166221,9.609997,0.521500,3.416890,0.004745,0.000039,0.008193,0.000045,0.055373,3.636552,9.142445,live
7.310897,10.000000,0.469656,3.094920,0.007430,0.000052,0.013341,0.000066,0.082344,4.102644,10.000000,live
6.904715,9.344849,0.592991,3.853601,0.001843,0.000017,0.002938,0.000020,0.024307,4.365364,9.613616,live
0.533642,3.410685,4.896671,8.358775,0.002795,0.000023,0.006620,0.000032,0.023756,3.130340,8.091608,live
