NormFwd_Packet_Length_Mean,NormFwd_Packet_Length_Std,NormBwd_Packet_Length_Mean,NormBwd_Packet_Length_Std,NormFlow_IAT_Mean,NormFlow_IAT_Std,NormFwd_IAT_Mean,NormFwd_IAT_Std,NormBwd_IAT_Mean,NormPacket_Length_Mean,NormPacket_Length_Std,Label
0.604079,3.883827,9.891787,3.031864,0.006181,0.000365,0.025434,0.000674,0.040076,7.856841,9.896258,live
0.663594,4.343851,9.811905,3.486467,0.017918,0.000861,0.069610,0.001471,0.118491,7.670623,10.000000,live
1.888060,8.200206,9.467639,4.863700,0.011183,0.000729,0.158614,0.002362,0.059080,9.194853,6.686028,live
0.473554,3.156968,9.988978,1.952514,0.007538,0.000693,0.038016,0.001369,0.046145,8.342709,9.204184,live
0.559456,3.672174,9.956674,2.363139,0.008867,0.000612,0.045666,0.001214,0.054009,8.371099,9.133426,live
0.684429,4.584499,10.000000,1.587727,0.010578,0.001502,0.212319,0.005865,0.054638,9.836135,5.104966,live
0.944691,5.640588,9.760874,3.898156,0.003602,0.000316,0.019598,0.000642,0.021671,8.375244,9.015386,live
1.031430,5.935830,9.739597,3.950104,0.006439,0.000363,0.037102,0.000754,0.038263,8.465027,8.809841,live
0.720388,4.619336,9.800801,3.713082,0.010340,0.000681,0.040705,0.001176,0.068069,7.708020,10.000000,live
0.513902,3.365299,9.944068,2.492625,0.009817,0.000633,0.040627,0.001135,0.063532,7.889847,9.873735,live
0.787101,4.931826,9.850426,3.362142,0.010096,0.000691,0.048478,0.001321,0.062615,8.192749,9.382928,live
1.111913,6.259883,9.756469,3.953215,0.004801,0.000392,0.030348,0.000858,0.028006,8.630834,8.530320,live
1.456655,7.212910,9.472404,5.332565,0.004764,0.000203,0.023137,0.000386,0.029463,8.037207,9.392065,live
0.735331,4.677641,9.763287,3.883003,0.010260,0.000542,0.042081,0.000954,0.066629,7.778346,9.933381,live
0.707828,4.539198,9.756557,3.941373,0.010294,0.000560,0.039624,0.000955,0.068285,7.617247,10.000000,live
1.143590,6.349523,9.587789,4.830968,0.007797,0.000399,0.040301,0.000786,0.047478,8.179177,9.258099,live
1.075644,6.134079,9.725381,4.136306,0.004267,0.000363,0.024557,0.000759,0.025360,8.458554,8.849857,live
0.875086,5.307800,9.575494,4.953182,0.015137,0.000675,0.055392,0.001119,0.102286,7.398587,10.000000,live
1.555814,7.475450,9.495843,4.655283,0.009309,0.000590,0.128357,0.001888,0.049283,9.182769,6.712184,live
0.730852,4.676656,9.813003,3.644528,0.010021,0.000667,0.041620,0.001182,0.064814,7.844767,9.886429,live
0.744144,4.766632,9.840915,3.237244,0.003910,0.000264,0.022068,0.000543,0.023337,8.469543,8.862782,live
0.630952,4.233961,9.840643,3.285485,0.016707,0.000835,0.065920,0.001438,0.109893,7.722427,10.000000,live
0.412269,2.519790,10.000000,1.561070,0.004123,0.000395,0.018635,0.000734,0.025987,8.121583,9.566036,live
0.681021,4.371156,9.817423,3.631791,0.018250,0.000860,0.069549,0.001493,0.121446,7.632229,10.000000,live
1.506729,7.356246,9.486980,4.704423,0.009239,0.000642,0.114209,0.001956,0.049358,9.101171,6.951106,live
0.630383,4.271662,10.000000,1.653477,0.009034,0.001347,0.137431,0.004579,0.047418,9.674582,5.785898,live
1.175691,6.436414,9.640284,4.496032,0.003477,0.000166,0.018388,0.000331,0.021059,8.267386,9.102296,live
0.881407,5.326985,9.714651,4.222181,0.012705,0.000680,0.059833,0.001280,0.079206,8.063048,9.519667,live
1.068073,6.208868,9.535084,5.317825,0.016424,0.000701,0.058051,0.001186,0.112422,7.333796,10.000000,live
0.619656,4.096300,9.848761,3.210412,0.016329,0.000825,0.061480,0.001388,0.109187,7.609766,10.000000,live
1.827822,8.075848,9.496251,4.652512,0.009081,0.000646,0.149532,0.002257,0.047475,9.296827,6.343186,live
1.165124,6.463934,9.605736,4.949268,0.015330,0.000682,0.066574,0.001278,0.097748,7.875825,9.782425,live
1.609869,7.606116,9.472324,4.760946,0.009331,0.000646,0.123689,0.002034,0.049557,9.140104,6.818167,live
0.999660,5.771539,9.466286,5.495239,0.033741,0.001283,0.128989,0.002165,0.224402,7.452259,10.000000,live
0.661308,4.304989,7.490517,8.558160,0.006770,0.000080,0.019296,0.000113,0.051214,5.231926,10.000000,live
0.575943,3.857959,9.939961,2.547687,0.010028,0.000722,0.051296,0.001431,0.061175,8.348515,9.171866,live
1.103451,6.223362,9.779766,3.803766,0.004163,0.000307,0.027081,0.000680,0.024155,8.690298,8.417801,live
1.109450,6.320799,10.000000,1.555548,0.010026,0.001452,0.433685,0.008265,0.050370,10.000000,3.598103,live
0.743633,4.737454,9.807783,3.664918,0.010768,0.000720,0.044333,0.001271,0.069840,7.823686,9.907271,live
1.078079,6.150637,8.939225,6.891632,0.004962,0.000160,0.021486,0.000288,0.031682,7.321876,10.000000,live
0.490992,3.251351,9.932872,2.518368,0.009360,0.000637,0.037703,0.001113,0.061145,7.810218,9.967544,live
0.637242,4.151355,9.914705,2.805082,0.006847,0.000476,0.035110,0.000969,0.041751,8.342523,9.165591,live
0.601847,4.175295,10.000000,1.654494,0.008976,0.001269,0.121260,0.004076,0.047536,9.589774,6.104819,live
0.879370,5.441290,9.072695,6.329436,0.003051,0.000124,0.015516,0.000243,0.018646,7.675579,9.623485,live
1.046495,6.004529,9.622920,4.857253,0.014357,0.000626,0.054724,0.001103,0.095517,7.577427,10.000000,live
0.579940,3.729197,9.897557,2.975150,0.006182,0.000402,0.024786,0.000731,0.040417,7.794315,9.980634,live
0.688368,4.484402,9.854854,3.205419,0.018542,0.000967,0.076977,0.001708,0.119943,7.866540,9.846348,live
0.726679,4.652346,9.803678,3.712573,0.010483,0.000687,0.041407,0.001189,0.068932,7.719789,10.000000,live
0.401413,2.405027,10.000000,1.572029,0.004073,0.000392,0.017007,0.000699,0.026287,7.937722,9.834727,live
0.727491,4.656732,9.805115,3.703493,0.010495,0.000687,0.041439,0.001187,0.069017,7.720277,10.000000,live
0.816305,5.047456,9.712811,4.228810,0.011867,0.000615,0.051663,0.001114,0.075649,7.888327,9.773938,live
0.610847,4.021446,9.892511,3.020635,0.006906,0.000455,0.031173,0.000873,0.043543,8.064380,9.610621,live
0.734741,4.723843,9.844488,3.263379,0.003143,0.000237,0.016987,0.000479,0.018936,8.397094,9.010475,live
0.801073,4.981167,9.747167,4.005732,0.011266,0.000588,0.050974,0.001086,0.071018,7.992779,9.634817,live
1.138086,6.309256,9.639823,4.473749,0.003482,0.000159,0.017805,0.000310,0.021256,8.203168,9.202318,live
0.675692,4.597163,10.000000,1.609821,0.009110,0.001389,0.157729,0.005046,0.047428,9.756091,5.454890,live
0.748869,4.790359,9.741751,3.984552,0.023126,0.000962,0.085047,0.001594,0.155985,7.502481,10.000000,live
0.735891,4.681604,9.767542,3.851817,0.010679,0.000576,0.042526,0.000999,0.070026,7.713523,10.000000,live
